cid,rut
525,99223381-8
526,76356563-7
527,18076157-8
528,57342278-3
529,81602032-8
530,92311983-3
531,95932617-7
532,61892040-2
533,52581344-4
534,83118985-1
535,63814706-8
536,90739234-1
537,54593722-0
538,88697741-7
539,58303600-8
540,89336201-0
541,84095044-1
542,49993665-6
543,46491043-3
544,59814228-9
545,75357089-6
546,98544321-1
547,74580276-1
548,76563311-7
549,20034783-8
550,12187269-2
551,34414978-k
552,51630030-2
553,87859472-k
554,82833215-5
555,72429091-4
556,83029887-8
557,45400053-6
558,30364676-0
559,69141385-3
560,26617374-1
561,76849115-1
562,79543386-4
563,86555166-5
564,82833215-5
565,25002692-7
566,94559048-3
567,57133149-7
568,34349789-k
569,93044599-1
570,98121429-3
571,34996262-4
572,63953205-4
573,28630079-0
574,73026642-1
575,51242629-8
576,95777850-k
577,63974341-1
578,23494123-2
579,34414978-k
580,79480331-5
581,54363208-2
582,85973291-7
583,72810804-5
584,72570829-7
585,92445451-2
586,46787382-2
587,85743167-7
588,95403427-5
589,40538537-6
590,66361406-1
591,52968708-7
592,14114400-6
593,86367440-9
594,14982281-k
595,32700742-4
596,10537138-1
597,60747994-1
598,79263691-8
599,91231636-k
600,95514882-7
601,19735595-6
602,75328775-2
603,45717384-9
604,34039148-9
605,64269343-3
606,54480341-7
607,45125749-8
608,13592940-9
609,20209505-4
610,72070561-3
611,75328775-2
612,29877385-6
613,36600416-5
614,63382431-2
615,51193594-6
616,59444986-k
617,94384917-k
618,63421928-5
619,35480818-8
620,85384785-2
621,77477421-1
622,86164302-6
623,73026642-1
624,74748755-3
625,93285177-6
626,43926456-k
627,96251410-3
628,20820475-0
629,98683815-5
630,33890329-4
631,26123513-7
632,64063874-5
633,14200344-9
634,91888069-0
635,79758989-6
636,66045545-0
637,11784418-8
638,48176712-1
639,31457093-6
640,38830395-6
641,12673702-5
642,88034198-7
643,12205074-2
644,16836029-0
645,41694611-6
646,86447590-6
647,54004386-8
648,69402733-4
649,83917354-7
650,38629675-8
651,22240154-2
652,86164302-6
653,66899113-0
654,63974341-1
655,45355149-0
656,31111145-0
657,59959821-9
658,79695896-0
659,69251591-9
660,35785969-7
661,63884576-8
662,87544765-3
663,23298314-0
664,34352032-8
665,38317707-3
666,12187269-2
667,33802463-0
668,15623590-3
669,43630930-9
670,81698647-8
671,57639262-1
672,65855526-k
673,71962392-1
674,27626683-7
675,21332506-k
676,71389826-0
677,41183684-3
678,53967694-6
679,22274441-5
680,11123767-0
681,53089483-5
682,71881591-6
683,31706054-8
684,10537138-1
685,52189199-8
686,75295314-7
687,11439340-1
688,71612139-9
689,59260036-6
690,40538537-6
691,89146700-1
692,91461351-5
693,35414863-3
694,48459253-5
695,74357811-2
696,37797879-k
697,11123767-0
698,77484278-0
699,62014673-0
700,16264932-9
701,29903675-8
702,30741496-1
703,11544489-1
704,34012878-8
705,21630671-6
706,95541819-0
707,79758989-6
708,22001298-0
709,43922451-7
710,28231652-8
711,85301240-8
712,52158784-9
713,45026478-4
714,49641463-2
715,50511840-5
716,93009498-6
717,90471139-k
718,75981648-k
719,92170041-5
720,49359132-0
721,44812887-3
722,35776394-0
723,15119459-1
724,91119340-k
725,26849996-2
726,46288331-5
727,34902561-2
728,13965853-1
729,43953571-7
730,41325900-2
731,25399600-5
732,42300579-3
733,91957637-5
734,53747213-8
735,29742884-5
736,38317707-3
737,63974341-1
738,41071374-8
739,54121962-5
740,34572846-5
741,58303600-8
742,82903113-2
743,95711978-6
744,95741388-9
745,57325256-k
746,20026905-5
747,72309503-4
748,48433213-4
749,33802463-0
750,44973013-5
751,76081261-7
752,68505645-3
753,85394005-4
754,43654491-k
755,86434438-0
756,53211068-8
757,23047484-2
758,53721649-2
759,21219682-7
760,91790173-2
761,61774912-2
762,77484278-0
763,45644100-9
764,91790173-2
765,70582800-8
766,83123905-0
767,30928102-0
768,10119008-0
769,79758989-6
770,69691126-6
771,79263691-8
772,59060940-4
773,56229978-5
774,95185947-8
775,81560843-7
776,63824003-3
777,64370666-0
778,25198755-6
779,32992512-9
780,36918308-7
781,10094201-1
782,43831962-k
783,96951878-3
784,96900689-8
785,13370165-6
786,12957899-8
787,90594532-7
788,41704207-5
789,97343582-5
790,11554909-k
791,92394961-5
792,11784418-8
793,15591154-9
794,77520112-6
795,82833215-5
796,97004364-0
797,81498697-7
798,77477421-1
799,12348490-8
800,37285914-8
801,45981588-0
802,50109588-5
803,31256887-k
804,63459997-5
805,96828461-4
806,48269008-4
807,21219682-7
808,36432728-5
809,59959821-9
810,11453035-2
811,77489819-0
812,95667888-9
813,15460166-k
814,50728559-7
815,96863860-2
816,59890575-4
817,79459402-3
818,70388205-6
819,16636734-4
820,50942616-3
821,14408869-7
822,44372095-2
823,17459269-1
824,23748548-3
825,85034590-2
826,96562711-1
827,91346186-k
828,35661237-k
829,73815426-6
830,27183294-k
831,13572944-2
832,44626695-0
833,79348268-k
834,99233768-0
835,91085975-7
836,94362008-3
837,47922722-5
838,28273728-0
839,53383454-k
840,34996262-4
841,36081017-8
842,38628283-8
843,88772168-8
844,53609901-8
845,63382431-2
846,62820832-8
847,51693674-6
848,28060713-4
849,23514054-3
850,25750021-7
851,77020926-9
852,16836029-0
853,22001298-0
854,33090056-3
855,69760987-3
856,66119831-1
857,47981838-k
858,56093204-9
859,92170041-5
860,94888169-1
861,58366562-5
862,13068977-9
863,48766480-4
864,20640357-8
865,77210598-3
866,83386046-1
867,61863167-2
868,72810804-5
869,32992512-9
870,54363208-2
871,91346186-k
872,39038168-9
873,70368495-5
874,33236616-5
875,73324033-4
876,25844754-9
